id	hiredate	firstname	lastname	salary	city	state	zipcode	department
1423	2013-01-06 09:00:00	Blanca	Oquendo	65200	Anaheim	CA	92884	Quality Assurance
1424	2013-01-06 09:00:00	Jermaine	Quinn	64900	Sacramento	CA	95882	Corporate Communication
1425	2013-01-08 09:00:00	Samuel	Gay	49600	Flagstaff	AZ	86096	Facilities Management
1426	2013-01-13 09:00:00	Aaron	Greaves	67000	Santa Barbara	CA	93489	Operations
1427	2013-01-13 09:00:00	Betsy	Pegues	52800	Bakersfield	CA	93313	Operations
1428	2013-01-13 09:00:00	Cynthia	Ernst	63300	Alhambra	CA	91892	Operations
1429	2013-01-20 09:00:00	Arlene	Younger	56200	Industry	CA	91783	Operations
1430	2013-01-20 09:00:00	George	Moulton	35900	Phoenix	AZ	85016	Facilities Management
1431	2013-01-20 09:00:00	Peggy	Wilder	93000	Portland	OR	97050	Engineering
1432	2013-01-20 09:00:00	Stephen	Wilkinson	54800	San Bernardino	CA	92309	Corporate Communication
1433	2013-01-20 09:00:00	Teresa	Phillips	46500	Sacramento	CA	95766	Corporate Communication
1434	2013-01-20 09:00:00	Tommy	Collins	148700	Alhambra	CA	91829	Data Science
1435	2013-01-20 09:00:00	Wayne	Kearns	81600	Pasadena	CA	91151	Business Intelligence
1436	2013-01-21 09:00:00	Hattie	Mack	120800	Industry	CA	91763	Data Science
1437	2013-01-27 09:00:00	Charles	Ryan	127500	Glendale	CA	91243	Legal
1438	2013-01-27 09:00:00	Jermaine	Garcia	57400	North Hollywood	CA	91663	Corporate Services
1439	2013-01-27 09:00:00	Kimberly	Owsley	41200	Marysville	CA	95906	Customer Support
1440	2013-02-03 09:00:00	Emanuel	Pena	50900	Prescott	AZ	86338	Sales
1441	2013-02-03 09:00:00	Gloria	Dube	40800	Las Vegas	NV	89039	Customer Support
1442	2013-02-03 09:00:00	Jennifer	King	69500	Fresno	CA	93608	Technical Publications
1443	2013-02-03 09:00:00	Jeremy	Peppers	51800	Globe	AZ	85528	Sales
1444	2013-02-04 09:00:00	Ervin	Cortez	42400	Globe	AZ	85558	Sales
1445	2013-02-04 09:00:00	Melissa	Palacios	86400	Fresno	CA	93835	Engineering
1446	2013-02-10 09:00:00	Denny	Howard	65000	Santa Ana	CA	92651	Operations
1447	2013-02-10 09:00:00	Julianne	Broussard	50700	Eugene	OR	97487	Sales
1448	2013-02-10 09:00:00	Maria	Guerrero	44100	Las Vegas	NV	89148	Sales
